rmag,imag
24.372,23.977
24.919,24.468
17.098,16.633
23.884,23.795
22.331,22.166
21.96,21.601
26.515,26.042
25.779,25.327
25.018,24.585
23.448,23.363
25.3,24.769
26.903,26.343
20.131,19.308
22.321,21.124
26.366,25.872
23.116,22.112
25.593,25.097
23.641,23.251
26.24,25.597
25.336,23.28
24.227,23.309
26.373,25.806
16.77,16.637
23.115,21.472
23.541,23.246
22.954,22.506
24.362,24.299
20.726,19.672
24.252,24.039
26.316,26.172
23.408,22.834
24.902,23.686
26.111,25.667
25.593,24.945
22.548,22.07
22.794,22.719
22.466,22.096
26.818,26.429
25.972,25.512
25.293,24.899
26.494,26.071
25.53,24.942
21.952,20.618
25.075,22.829
25.84,24.976
23.99,23.696
23.896,23.702
26.365,25.913
22.999,22.659
24.179,23.783
16.403,16.225
20.008,19.045
21.105,19.965
23.838,21.935
23.062,21.859
26.144,25.539
24.259,22.545
23.394,23.239
25.348,25.042
22.028,21.286
26.134,25.876
26.243,26.006
23.949,23.808
25.592,22.998
22.45,22.29
25.255,24.757
21.876,20.43
22.545,22.109
26.256,26.024
22.878,22.557
26.952,26.732
21.45,20.538
25.945,25.471
26.92,26.471
25.226,25.078
24.238,23.71
26.526,26.026
23.676,23.198
19.242,18.517
24.466,24.263
25.891,25.303
23.08,22.918
22.473,22.262
24.161,23.955
24.074,23.77
26.502,25.993
22.922,22.75
19.745,19.517
23.446,23.331
22.777,21.921
26.679,26.104
25.145,24.728
24.77,23.854
19.057,18.665
26.657,26.398
20.584,19.596
26.024,25.6
25.868,25.289
21.022,20.84
22.403,22.345
23.515,23.331
25.846,24.957
24.237,23.782
19.892,19.229
20.641,20.496
23.746,23.239
24.699,24.525
25.998,25.761
25.028,24.839
23.336,23.258
19.56,19.504
24.376,23.796
21.552,21.348
24.793,23.085
25.092,24.781
26.199,25.985
25.374,25.081
21.547,20.6
26.966,26.526
15.98,15.767
24.276,22.693
26.785,26.372
22.809,22.608
25.244,24.725
26.337,26.149
24.718,24.472
26.502,25.993
23.207,22.905
26.549,25.932
26.134,25.662
24.854,24.459
26.982,26.505
26.677,26.292
26.776,26.035
24.846,24.752
23.067,22.629
25.571,25.164
19.329,18.903
26.88,24.316
19.41,19.166
26.129,25.443
20.512,19.888
22.237,20.012
25.79,25.299
24.871,24.612
24.981,24.507
