rmag,imag
24.967,24.583
23.683,22.179
26.351,25.802
26.798,26.091
19.845,19.549
26.255,25.741
26.93,26.531
25.569,23.916
22.378,22.05
22.162,21.769
25.742,25.512
25.176,24.933
21.937,20.733
23.768,22.62
21.236,20.358
26.176,25.878
25.289,24.69
25.797,25.641
25.664,25.395
19.065,18.948
26.789,26.66
21.011,19.529
25.159,24.636
21.399,20.27
25.608,25.221
24.353,23.892
24.858,24.443
21.955,19.643
13.932,13.706
24.923,24.608
24.453,23.0
22.589,22.505
26.967,26.461
19.384,18.689
25.817,25.303
26.935,26.438
21.992,21.905
16.981,16.637
26.437,26.168
19.151,18.982
26.258,25.708
22.477,20.959
23.668,22.899
25.058,22.609
26.025,25.556
24.983,24.615
23.734,23.583
23.054,21.593
23.914,23.769
20.724,19.543
26.245,25.766
21.031,20.939
26.932,26.431
15.345,15.227
24.913,24.379
26.274,25.773
25.885,25.511
20.851,19.745
23.234,23.024
22.269,20.895
26.87,26.364
15.578,15.385
21.43,21.323
21.261,21.115
26.271,26.067
20.036,19.92
24.727,24.653
25.142,22.961
21.739,21.536
18.593,17.885
23.466,21.611
26.652,25.933
26.843,26.361
25.634,25.353
26.427,26.139
11.995,12.025
22.085,21.469
24.046,23.684
22.113,21.596
26.113,25.614
24.047,23.602
21.717,20.915
23.282,23.182
25.342,23.302
25.789,25.477
26.985,26.794
26.955,26.668
25.546,24.989
26.729,26.174
20.311,19.403
24.049,22.169
24.871,24.767
22.142,20.926
24.883,23.772
25.281,25.105
24.678,24.61
26.61,24.07
18.253,18.19
18.849,18.599
25.13,24.625
24.189,23.714
26.824,26.543
22.335,20.815
17.294,16.544
26.826,26.068
26.68,26.567
26.844,26.429
26.245,26.143
22.837,20.961
23.028,21.892
23.03,22.955
25.726,25.401
24.081,23.757
26.712,26.248
25.714,25.625
19.911,19.825
24.98,24.569
26.461,25.811
26.999,26.577
25.353,25.06
24.9,24.484
21.961,21.021
25.077,24.56
24.96,23.578
26.812,26.598
19.121,19.053
25.414,25.317
24.771,22.844
19.384,18.504
25.96,25.545
24.919,24.81
25.957,24.104
25.165,25.029
25.65,25.255
24.939,24.658
24.125,21.946
25.145,23.312
24.68,24.575
23.341,22.886
26.293,24.268
20.946,20.792
23.226,22.447
23.915,23.818
23.359,22.924
24.335,23.821
26.089,24.127
24.546,23.868
24.793,24.243
22.855,21.619
21.905,21.641
24.772,24.715
26.994,26.777
26.161,25.785
26.925,26.787
26.724,24.333
25.25,23.957
22.708,21.784
26.158,25.761
22.437,22.308
25.074,24.535
26.163,25.693
26.739,24.113
25.627,25.042
24.508,24.42
26.438,26.197
22.041,19.787
26.515,26.215
23.384,22.401
25.249,25.164
26.517,26.042
25.629,25.46
16.542,16.424
25.832,25.682
26.571,26.097
25.221,23.663
23.968,23.336
24.788,24.314
26.39,26.249
26.094,24.906
26.899,26.605
22.989,22.513
22.064,21.792
21.297,21.197
21.315,20.727
25.198,24.773
25.4,25.055
25.473,25.267
24.501,23.949
25.142,24.793
25.472,25.055
22.5,20.885
26.01,25.446
24.832,24.406
26.883,26.313
26.21,25.966
22.958,21.682
24.942,24.711
24.091,23.856
21.552,20.846
26.396,25.98
21.488,21.303
23.517,23.032
25.802,25.261
25.829,25.381
25.492,25.248
23.181,22.791
26.481,26.099
26.224,25.572
24.331,24.074
25.805,25.378
26.247,25.623
25.685,23.762
22.028,21.385
26.726,26.466
19.337,19.049
25.172,24.856
26.817,26.344
21.866,21.002
26.726,26.132
26.121,25.571
22.321,22.152
24.893,24.578
26.903,26.678
25.895,24.63
25.282,23.223
25.738,25.504
25.308,24.154
24.356,23.651
23.385,21.477
26.876,26.383
25.599,25.104
26.16,24.381
24.529,23.984
23.462,23.192
25.151,24.606
26.609,26.107
22.756,22.32
22.953,21.267
25.001,24.146
22.334,22.14
19.295,19.03
23.259,23.138
26.981,26.645
24.067,23.926
24.464,24.101
26.337,26.002
16.89,16.602
26.38,24.797
23.413,23.079
26.079,25.722
21.484,20.677
23.704,22.014
26.178,25.833
22.598,22.37
20.035,20.09
25.827,25.658
26.072,25.453
25.778,25.005
23.883,23.385
10.908,10.77
22.603,22.43
24.059,23.89
22.754,21.871
26.479,25.786
26.403,25.166
25.252,22.907
26.41,25.838
25.798,25.565
19.126,18.421
24.714,23.612
26.463,25.583
21.865,21.63
21.644,21.574
26.173,23.978
24.297,23.93
22.095,21.073
25.483,24.99
23.528,22.119
25.535,24.912
24.908,23.096
24.064,23.548
25.04,24.932
20.44,20.074
26.963,26.329
24.845,24.578
23.246,22.96
20.24,19.639
22.391,22.254
26.495,25.96
25.275,23.035
26.599,26.462
23.403,22.074
25.992,25.578
26.277,25.707
25.573,25.304
22.216,21.912
25.728,24.723
26.409,25.956
26.166,25.79
25.758,25.21
26.087,23.833
23.932,23.622
21.534,21.425
20.542,19.515
24.831,24.495
26.951,26.366
18.453,17.756
24.926,24.669
22.819,21.708
23.735,23.266
26.145,25.5
25.757,25.493
19.763,19.665
21.711,21.532
22.972,22.756
22.146,20.613
26.284,26.06
22.858,21.56
22.259,21.531
18.709,18.268
25.295,25.17
20.486,18.961
24.598,23.898
25.851,25.493
26.179,25.739
21.456,20.305
26.407,24.602
26.943,26.553
19.527,18.963
21.7,21.372
26.234,26.137
24.982,24.488
15.502,15.358
24.143,23.088
24.786,23.103
24.583,24.441
21.668,20.914
26.119,25.665
23.968,23.371
23.955,22.146
22.439,22.368
23.582,23.419
26.41,25.543
26.885,26.572
25.188,24.786
20.879,20.698
21.558,20.927
24.956,24.597
23.411,23.182
17.955,17.873
25.377,24.88
23.834,21.763
24.158,23.446
23.808,23.65
23.146,22.888
22.584,22.664
25.019,24.874
18.774,18.427
24.799,24.599
26.739,26.336
24.792,24.383
21.608,20.643
20.012,19.709
24.846,24.488
23.206,23.105
25.413,25.328
19.276,18.727
24.661,24.002
26.879,26.161
24.806,24.277
23.415,23.326
25.907,25.45
25.772,25.455
24.965,24.623
26.942,26.43
24.546,24.063
26.967,24.931
23.192,22.409
19.14,18.739
20.747,20.07
20.834,20.743
25.372,25.245
26.455,26.063
22.895,22.701
24.2,22.386
25.028,24.624
26.025,25.754
22.99,22.504
24.142,23.685
25.112,24.612
23.564,23.437
26.68,26.402
26.041,25.773
24.545,24.423
23.504,23.11
26.779,25.977
24.831,23.436
21.755,20.334
26.269,25.776
26.192,25.657
26.175,25.513
25.725,25.074
19.309,18.229
25.817,25.377
23.527,22.607
26.934,26.638
23.957,23.638
24.494,24.311
23.917,23.422
24.661,23.247
25.054,24.447
23.243,22.82
23.199,21.724
26.412,25.692
26.849,26.607
19.121,18.396
24.904,24.39
18.934,18.385
24.514,24.274
23.283,22.593
23.134,22.864
19.54,18.668
26.498,25.759
24.368,23.21
26.155,26.054
23.746,23.472
26.943,26.547
21.28,20.184
25.771,25.392
25.321,25.229
25.663,24.513
26.021,24.417
20.425,19.821
24.326,22.158
22.784,22.669
25.074,24.229
18.523,18.36
24.784,24.459
26.072,25.78
25.027,24.83
26.601,26.211
26.505,26.069
24.011,23.21
26.54,26.067
24.665,24.463
26.351,26.173
26.873,26.593
22.276,20.861
21.222,21.063
26.74,26.214
26.053,25.62
19.962,18.363
26.309,25.685
20.168,20.055
23.358,21.58
21.469,20.725
26.751,26.6
26.032,25.723
26.289,25.998
25.137,24.838
24.68,24.388
26.738,26.363
24.815,24.462
22.594,22.094
26.077,25.469
24.468,23.851
25.672,24.993
26.854,26.433
26.122,25.839
24.762,23.667
16.646,16.526
26.232,25.861
24.457,24.029
24.318,23.623
14.403,14.311
24.702,23.673
24.983,24.513
23.634,22.736
25.831,25.385
26.581,26.322
24.795,24.456
26.661,26.026
25.767,25.626
24.346,24.256
25.122,24.431
18.961,18.098
23.026,21.402
25.584,25.049
22.082,20.446
26.531,24.762
21.925,20.604
25.611,25.397
24.386,24.281
22.147,20.667
24.482,24.259
14.793,14.589
26.716,26.497
23.484,22.624
25.302,25.057
15.299,14.407
26.641,26.18
26.229,25.981
25.636,25.464
26.821,26.534
26.623,26.177
18.56,18.447
26.171,25.703
25.705,25.162
26.245,26.09
26.79,26.295
25.584,25.052
15.489,15.305
26.116,25.57
25.569,25.449
26.701,26.157
20.038,18.311
25.062,24.711
23.77,22.775
21.131,19.588
25.837,23.806
26.433,26.005
24.212,22.805
26.401,25.336
26.772,26.323
26.495,25.729
26.007,25.426
23.278,21.717
26.48,25.911
25.254,23.535
25.956,25.445
26.057,24.469
24.772,24.682
26.037,25.444
23.945,23.499
26.103,25.633
20.916,19.915
22.473,22.253
25.8,25.706
15.789,14.693
19.712,19.469
26.432,26.003
21.079,20.674
18.321,18.134
23.67,23.012
24.52,23.887
26.266,25.54
22.188,21.773
24.189,23.971
26.184,25.701
25.426,24.923
25.337,25.255
25.78,25.192
25.16,23.07
25.689,25.162
25.725,25.505
25.229,24.848
25.211,23.512
20.166,19.688
25.585,23.279
22.163,21.995
24.046,23.659
23.936,23.732
23.537,23.148
25.595,25.162
25.541,25.306
25.461,25.186
22.209,22.079
25.516,25.089
23.3,23.046
26.149,25.542
22.962,22.076
25.505,25.37
21.252,21.156
24.859,24.514
17.343,16.022
24.786,24.695
25.413,25.33
24.793,23.338
25.433,25.081
