# DP2 COSMOS cutout sample: full
#
# Sample: full - r < 23, no dm cut, sorted by dm desc
# Cuts applied:
#     base sample                                 4,055
#     r < 23                                        443
# Sorted by r_psf_minus_cModel (descending); obj_num is 1..N in that order.
#
# 443 objects
#
#  N  objectId         RA        DEC   r_mag      dm   u_mag   g_mag   i_mag   z_mag   y_mag  blend  isol  hst_sep
# ----------------------------------------------------------------------------------------------------------------
  103  788012561923594764  150.620429   1.901416  21.880   0.063  23.246  22.318  21.676  21.598  21.602      Y     N   0.0376
  104  788015448141626065  150.300022   2.709372  22.659   0.063  23.946  23.185  22.500  22.251  22.318      Y     N   0.0219
  105  788016341494816718  149.848620   2.777069  22.258   0.063  24.593  22.975  21.941  21.794  21.659      Y     N   0.0643
  106  788012218326213651  149.904915   1.783218  22.336   0.062  23.842  22.793  22.146  22.073  22.016      Y     N   0.0531
  107  788012768082029702  150.135359   1.987898  22.748   0.060  25.174  23.748  22.270  22.012  21.960      Y     N   0.0425
  108  788012561923598965  150.660934   1.975345  21.437   0.060  21.972  21.624  21.314  21.125  20.813      Y     N   0.0124
  109  788012149606743713  150.074170   1.870448  22.074   0.060  23.945  22.687  21.795  21.701  21.616      Y     N   0.0190
  110  788015791739003226  149.533959   2.626402  21.321   0.059  23.189  21.923  21.055  20.963  20.880      Y     N   0.0642
  111  788015310702665596  150.589286   2.599752  22.548   0.058  24.231  23.095  22.350  22.298  22.197      Y     N   0.0155
  112  788015791739005903  149.538916   2.678479  22.206   0.057  23.343  22.587  22.099  22.088  22.005      Y     N   0.2751
  113  788014348629994617  149.681921   2.333888  18.457   0.056  22.378  19.738  17.549  17.126  16.917      Y     N   0.1626
  114  788016066616915594  150.511399   2.850762  21.672   0.056  21.781  21.703  21.607  21.584  21.527      Y     N   0.2515
  115  788015654300049727  149.854701   2.606936  22.486   0.056  22.608  22.536  22.188  21.897  22.082      Y     N   0.0277
  116  788015310702670864  150.716468   2.693342  21.845   0.056  26.492  23.057  20.643  20.085  19.837      Y     N   0.1807
  117  788015379422140658  150.556622   2.584395  21.528   0.055  24.111  22.737  20.655  20.216  20.028      Y     N   0.0540
  118  788015035824765501  149.695812   2.549046  22.499   0.054  24.087  23.085  21.901  21.660  21.429      Y     N   0.0101
  119  788015585580580956  150.058549   2.730342  21.954   0.054  22.557  22.252  21.772  21.420  21.225      Y     N   0.0139
  120  788011393692500183  150.206847   1.721446  22.581   0.054  23.120  22.791  22.410  22.376  21.859      Y     N   0.0134
  121  788013042959932949  149.550711   1.942246  22.312   0.053  25.657  23.241  21.835  21.574  21.365      Y     N   0.0789
  122  788012218326214293  149.757433   1.792964  22.973   0.052  24.219  23.356  22.818  22.793  22.881      Y     N   0.0354
  123  788013386557324918  150.378228   2.196354  22.988   0.052  23.710  23.736  22.492  22.445  22.168      Y     N   0.0155
  124  788014623507905012  150.723623   2.557265  20.930   0.052  24.901  22.267  20.091  19.704  19.508      Y     N   0.0665
  125  788012905520979592  149.905592   1.900656  20.926   0.052  22.212  21.336  20.774  20.710  20.670      Y     N   0.0169
  126  788013730154701024  149.506723   2.074685  22.872   0.051  24.936  23.925  22.376  22.032  21.663      Y     N   0.0181
  127  788014073752088825  150.364353   2.344100  19.915   0.051  23.740  21.231  18.802  18.294  18.051      Y     N   0.1004
  128  788014829666334814  150.228737   2.553547  22.876   0.050  27.647  24.211  22.188  21.878  21.739      Y     N   0.1017
  129  788012355765168223  149.506015   1.809132  22.493   0.050  23.580  22.504  22.261  21.928  21.626      Y     N   0.0115
  130  788012218326215714  149.897717   1.823888  20.374   0.049  23.680  21.386  19.937  19.760  19.631      Y     N   0.1051
  131  788012699362557345  150.299164   2.037759  20.638   0.048  21.979  21.041  20.480  20.426  20.414      Y     N   0.0543
  132  788011943448307627  150.485197   1.803059  22.503   0.048  23.649  23.124  22.068  21.803  21.423      Y     N   0.0094
  133  788012218326215494  149.834686   1.817633  22.972   0.046  24.342  23.508  22.282  21.898  21.688      Y     N   0.0038
  134  788011943448306011  150.424811   1.772139  22.564   0.046  22.804  22.388  22.786  23.013  23.235      Y     N   0.1354
  135  788013523996277841  150.045070   2.217836  22.865   0.045  23.672  23.298  22.683  22.426  22.253      Y     N   0.0071
  136  788012080887259483  150.173255   1.759601  22.815   0.045  25.457  24.104  21.671  21.179  20.926      Y     N   0.0475
  137  788014692227380384  150.518132   2.521715  22.866   0.045  25.167  23.506  22.849  22.653  22.122      Y     N   0.0269
  138  788012080887266523  150.191667   1.863393  22.135   0.045  24.795  23.177  21.334  20.937  20.791      Y     N   0.0332
  139  788016135336388254  150.365032   2.786065  18.493   0.045  22.319  19.746  17.278  16.740  16.477      Y     N   0.0913
  140  788016341494814401  149.816272   2.742687  22.892   0.045  23.378  23.509  22.885  22.910  22.870      Y     N   0.0286
  141  788013592715753510  149.912439   2.200318  20.643   0.044  21.238  20.858  20.382  20.214  20.219      Y     N   0.0203
  142  788013936313133198  150.581955   2.299688  22.508   0.044  24.055  23.051  22.293  22.243  22.204      Y     N   0.0382
  143  788012080887259502  150.176552   1.759449  21.980   0.044  23.558  22.769  21.593  21.405  21.142      Y     N   0.0071
  144  788014279910514538  149.867623   2.274380  18.840   0.044  22.651  20.116  18.052  17.696  17.507      Y     N   0.1032
  145  788015379422146821  150.535363   2.680840  18.681   0.044  22.370  19.885  17.981  17.653  17.485      Y     N   0.1432
  146  788014760946830659  150.334458   2.527323  22.255   0.044  24.520  23.106  21.263  20.765  20.528      N     Y   0.0839
  147  788016204055866782  150.200005   2.827133  20.828   0.044  24.289  21.881  20.379  20.175  20.044      Y     N   0.0421
  148  788013317837847100  150.509926   2.205916  22.904   0.043  26.318  24.169  21.745  21.222  20.991      Y     N   0.0923
  149  788012561923599067  150.650932   1.969029  22.578   0.043  24.525  23.194  22.308  22.189  22.086      Y     N   0.0431
  150  788012287045693049  149.585889   1.807601  22.689   0.042  24.395  23.238  22.484  22.392  22.347      Y     N   0.0548
  151  788011599850926624  149.631939   1.698720  22.564   0.042  25.684  23.590  22.082  21.851  21.737      Y     N   0.0745
  152  788012699362551281  150.349659   1.948304  22.556   0.042  26.249  23.669  22.138  21.937  21.817      Y     N   0.0348
  153  788012149606744647  149.949254   1.881702  22.598   0.042  24.815  23.517  22.178  21.959  21.810      Y     N   0.0616
  154  788015585580573985  150.068397   2.623617  22.724   0.042  24.720  23.670  22.139  21.696  21.460      Y     N   0.0064
  155  788014417349475302  149.531780   2.366382  21.535   0.041  22.749  21.940  21.392  21.353  21.319      Y     N   0.0660
  156  788013592715748100  149.895114   2.107450  21.877   0.041  25.804  23.322  20.409  19.735  19.432      Y     N   0.1049
  157  788012768082033353  150.145590   2.043054  21.082   0.040  21.558  21.471  21.028  21.011  20.862      Y     N   0.0194
  158  788014898385809368  149.955603   2.502051  22.769   0.040  23.683  23.597  22.360  22.134  21.792      Y     N   0.0147
  159  788014692227379299  150.454557   2.507483  21.729   0.039  24.815  22.921  21.130  20.845  20.724      Y     N   0.0414
  160  788012630643078523  150.422561   2.014131  22.570   0.039  23.365  22.638  22.320  22.020  21.877      Y     N   0.0010
  161  788016478933771043  149.508230   2.786849  22.095   0.039  26.263  23.374  20.651  20.011  19.697      Y     N   0.0374
  162  788015516861096259  150.163799   2.597664  22.470   0.039  23.314  22.807  22.082  22.024  21.909      Y     N   0.0136
  163  788016410214291371  149.738893   2.736664  21.252   0.039  22.280  21.575  21.051  20.953  20.891      Y     N   0.0305
  164  788014760946858819  150.323801   2.552602  22.967   0.039  24.610  23.731  22.537  22.332  21.737      Y     N   0.0186
  165  788012012167788729  150.326981   1.844335  21.207   0.038  23.277  21.885  20.876  20.730  20.662      Y     N   0.0640
  166  788012974240462058  149.735916   2.027567  22.858   0.038  25.068  23.503  22.460  21.913  21.500      Y     N   0.0107
  167  788011324973018884  150.307649   1.666844  20.915   0.038  21.148  21.029  20.694  20.737  20.775      Y     N   0.0156
  168  788013661435231204  149.738955   2.220688  20.727   0.038  21.695  21.278  20.503  20.505  19.971      Y     N   0.0146
  169  788015379422143073  150.530233   2.630486  21.935   0.038  24.949  23.020  21.452  21.240  21.148      Y     N   0.1270
  170  788012561923602087  150.684062   2.026528  22.289   0.037  24.163  22.856  22.056  21.960  21.878      Y     N   0.0380
