N_star_train,N_galaxy_train,density_method,pS_bin_count,epsilon_floor,density_built_successfully,field,external_label_source,magnitude_bin,fold,band,cross_validation_used,notes
8,677,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,2,u,True,5-fold out-of-fold likelihood
13,746,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,2,g,True,5-fold out-of-fold likelihood
13,746,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,2,r,True,5-fold out-of-fold likelihood
13,745,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,2,i,True,5-fold out-of-fold likelihood
13,746,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,2,z,True,5-fold out-of-fold likelihood
13,735,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,2,y,True,5-fold out-of-fold likelihood
7,675,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,3,u,True,5-fold out-of-fold likelihood
13,747,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,3,g,True,5-fold out-of-fold likelihood
13,747,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,3,r,True,5-fold out-of-fold likelihood
13,746,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,3,i,True,5-fold out-of-fold likelihood
13,747,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,3,z,True,5-fold out-of-fold likelihood
13,737,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,3,y,True,5-fold out-of-fold likelihood
8,681,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,4,u,True,5-fold out-of-fold likelihood
13,747,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,4,g,True,5-fold out-of-fold likelihood
13,747,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,4,r,True,5-fold out-of-fold likelihood
13,747,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,4,i,True,5-fold out-of-fold likelihood
13,747,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,4,z,True,5-fold out-of-fold likelihood
13,740,histogram_density,50,1e-06,True,ECDFS,HST,23 <= mag < 24,4,y,True,5-fold out-of-fold likelihood
3,532,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,0,u,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,0,g,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,0,r,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,0,i,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,0,z,True,5-fold out-of-fold likelihood
4,604,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,0,y,True,5-fold out-of-fold likelihood
3,526,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,1,u,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,1,g,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,1,r,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,1,i,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,1,z,True,5-fold out-of-fold likelihood
4,606,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,1,y,True,5-fold out-of-fold likelihood
3,527,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,2,u,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,2,g,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,2,r,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,2,i,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,2,z,True,5-fold out-of-fold likelihood
4,607,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,2,y,True,5-fold out-of-fold likelihood
4,528,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,3,u,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,3,g,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,3,r,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,3,i,True,5-fold out-of-fold likelihood
4,643,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,3,z,True,5-fold out-of-fold likelihood
4,598,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,3,y,True,5-fold out-of-fold likelihood
3,523,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,4,u,True,5-fold out-of-fold likelihood
4,644,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,4,g,True,5-fold out-of-fold likelihood
4,644,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,4,r,True,5-fold out-of-fold likelihood
4,644,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,4,i,True,5-fold out-of-fold likelihood
4,644,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,4,z,True,5-fold out-of-fold likelihood
4,605,histogram_density,50,1e-06,True,ECDFS,HST,24 <= mag < 24.5,4,y,True,5-fold out-of-fold likelihood
1,657,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,0,u,True,5-fold out-of-fold likelihood
4,909,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,0,g,True,5-fold out-of-fold likelihood
4,910,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,0,r,True,5-fold out-of-fold likelihood
4,910,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,0,i,True,5-fold out-of-fold likelihood
4,910,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,0,z,True,5-fold out-of-fold likelihood
4,773,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,0,y,True,5-fold out-of-fold likelihood
1,659,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,1,u,True,5-fold out-of-fold likelihood
4,909,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,1,g,True,5-fold out-of-fold likelihood
4,910,histogram_density,50,1e-06,True,ECDFS,HST,24.5 <= mag < 25,1,r,True,5-fold out-of-fold likelihood
