obj_num,RA,DEC,objectId,refBand,refExtendedness,detect_fromBlend,detect_isIsolated,parentObjectId,u_cModelMag,u_psfMag,u_psf_minus_cModel,u_extendedness,u_blendedness,g_cModelMag,g_psfMag,g_psf_minus_cModel,g_extendedness,g_blendedness,r_cModelMag,r_psfMag,r_psf_minus_cModel,r_extendedness,r_blendedness,i_cModelMag,i_psfMag,i_psf_minus_cModel,i_extendedness,i_blendedness,z_cModelMag,z_psfMag,z_psf_minus_cModel,z_extendedness,z_blendedness,y_cModelMag,y_psfMag,y_psf_minus_cModel,y_extendedness,y_blendedness,hst_id,hst_label,hst_sep_arcsec,hst_acs_mu_class,hst_flag_combined
11,149.90561979345375,2.0845874500208685,788013592715746748,i,1.0,True,False,788013592715723491,21.844159120708774,22.07403607499537,0.2298769542865955,1.0,-26.576181411743164,21.603086342968894,21.968377004328005,0.36529066135911137,1.0,-77.14852905273438,21.886219398074175,22.17715454525269,0.29093514717851576,1.0,-38.500675201416016,21.9783709698779,22.368948319490137,0.39057734961223645,1.0,-22.159460067749023,22.33393315996091,22.66532026460197,0.3313871046410597,1.0,-6.667322158813477,22.2663162447054,22.70305911506087,0.4367428703554701,,-1.5576037168502808,507737,0,0.04100247568054821,2,0
12,149.71755636495152,1.6048959403892,788011599850922091,i,1.0,True,False,788011599850898591,24.88613472618665,25.14107133678958,0.25493661060292894,,-0.7719383835792542,22.87975871837721,23.169139198371262,0.28938047999405114,1.0,-21.348003387451172,21.476049150440303,21.75072307668335,0.27467392624304665,1.0,-54.567935943603516,20.071323539159714,20.38466906936797,0.31334553020825595,1.0,-167.5210418701172,19.417474266304204,19.68849209347464,0.27101782717043577,1.0,-119.9934310913086,19.0952588474266,19.375458154593694,0.28019930716709496,1.0,-64.22077941894531,491393,0,0.05911704580304654,2,0
13,149.7555598813067,1.7578136434581282,788012218326211883,i,1.0,True,False,788012218326188742,23.898859727737086,24.142304936402553,0.2434452086654666,,-3.0993731021881104,22.68467525963292,22.939506211691317,0.2548309520583949,,-25.43968963623047,21.98978790156899,22.209203341336305,0.2194154397673138,1.0,-36.01482009887695,21.703742215469,21.935145763068622,0.23140354759962278,1.0,-40.774497985839844,21.567384645708053,21.769333195315674,0.20194854960762143,1.0,-16.981172561645508,21.429999190295177,21.646373087649632,0.21637389735445467,1.0,-6.7282562255859375,689792,0,0.07414587216596778,2,0
14,149.9708983145682,1.6300444117823865,788011462411969794,i,1.0,True,False,788011462411945584,25.512568104689166,25.742377746481477,0.22980964179231123,,-0.08946898579597473,23.223193901455907,23.450054882988034,0.22686098153212697,1.0,-18.222339630126953,21.989178141428226,22.20593673270031,0.2167585912720824,1.0,-37.29526138305664,20.82503927206134,21.09318230790255,0.26814303584120935,1.0,-83.94520568847656,20.308681993935075,20.5507110640568,0.24202907012172403,1.0,-54.153167724609375,20.06950407633603,20.30307484982478,0.23357077348875066,1.0,-20.77299690246582,42035,0,0.03587691892123321,2,1
15,150.17790561740873,2.458231171928395,788014829666328985,i,1.0,True,False,788014829666305698,23.503631372272313,23.677590832722792,0.1739594604504795,,-5.63010311126709,22.803293748353152,23.012976031739854,0.20968228338670158,1.0,-25.449268341064453,21.83659169996691,22.029825149573533,0.19323344960662325,1.0,-44.70567321777344,20.913852838632415,21.11200102166236,0.19814818302994297,1.0,-87.30789947509766,20.47339928097356,20.634552939849616,0.16115365887605648,1.0,-53.897518157958984,20.203830931654927,20.387923055361238,0.18409212370631067,1.0,-19.532791137695312,879150,0,0.028025357282782933,2,0
16,150.07821986101305,1.8303895102721843,788012149606741403,i,1.0,True,False,788012149606714079,24.36995571820071,24.508230321354354,0.13827460315364348,1.0,-1.5748852491378784,21.833707769220208,22.017040268532796,0.18333249931258777,1.0,-62.51882553100586,20.643634421581254,20.804615964541348,0.16098154296009426,1.0,-130.19467163085938,19.354349543834374,19.5668118085635,0.2124622647291261,1.0,-447.953857421875,18.77088587709148,18.942065053294947,0.17117917620346645,1.0,-320.53515625,18.504153147584198,18.679266200975135,0.17511305339093752,1.0,-104.04475402832031,455883,0,0.028197553145948785,2,0
17,149.62419924722448,2.1806511425388035,788013661435228454,i,1.0,True,False,788013661435202478,23.08458104392222,23.220130305976657,0.13554926205443607,1.0,-8.001202583312988,22.48916403055187,22.66636380757067,0.1771997770187994,1.0,-47.48740005493164,21.76592637279773,21.9158247793192,0.14989840652146924,1.0,-47.21894454956055,21.677500247732205,21.897100101627696,0.21959985389549175,1.0,-48.29010772705078,21.26652762426466,21.46087095040022,0.19434332613555938,1.0,-24.695743560791016,20.90640808455766,21.100008284668302,0.19360020011064094,1.0,-9.25768756866455,774634,0,0.02711876425304129,2,1
18,149.5186489114609,1.609682245367745,788011668570400676,i,1.0,True,False,788011668570375553,23.585909125032128,23.68941147065518,0.1035023456230526,,-5.739501476287842,22.70675463593674,22.844372840418444,0.13761820448170425,1.0,-29.32513999938965,21.994791945307533,22.100475771545085,0.10568382623755213,1.0,-42.209739685058594,21.601373391562,21.738734319826154,0.13736092826415458,1.0,-47.44752883911133,21.410326334908323,21.52986956418943,0.11954322928110628,1.0,-24.50772476196289,21.287577825533035,21.422715594171624,0.1351377686385895,1.0,-8.692977905273438,632264,0,0.03311879651066749,2,0
19,149.79041969285743,2.8636581106773242,788016341494821155,i,1.0,True,False,788016341494795610,24.784768004474167,24.859830795945683,0.07506279147151673,1.0,-0.5668718814849854,22.204780991099522,22.309093738606208,0.10431274750668607,1.0,-56.636390686035156,20.9228616422376,21.02816387989986,0.10530223766226143,1.0,-152.31300354003906,20.025059022270952,20.151324317068003,0.12626529479705084,1.0,-170.2041473388672,19.616047662153974,19.72294351611945,0.10689585396547585,1.0,-103.3998031616211,19.411964172157056,19.53461226386578,0.12264809170872581,1.0,-47.208614349365234,859058,0,0.11400586496469398,2,1
20,150.06047474118571,2.6676502278363414,788015585580577119,i,1.0,True,False,788015585580550856,23.01920258079284,23.071938047448167,0.05273546665532791,1.0,-9.516850471496582,22.102757300396163,22.21025131217398,0.10749401177781692,1.0,-82.3368148803711,21.677238171632496,21.780453212262376,0.1032150406298804,1.0,-81.08260345458984,21.50807199007719,21.639445365111875,0.13137337503468416,1.0,-70.92967224121094,21.4481666324488,21.55837380342238,0.11020717097358101,1.0,-28.422893524169922,21.396172430582055,21.498318693969352,0.10214626338729715,1.0,-5.213735103607178,633276,0,0.025697391599386346,2,0
